BUSINESS_CODE,BUSINESS_NAME_L,BUSINESS_NAME_M,BUSINESS_NAME_S
1101041,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自動車販売・自動車部分品販売業
1101043,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自動車（新車）・中古自動車販売業
1101044,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自動車販売業（大型車）
1102001,自動車・オートバイ・自転車・ドライブ,中古車販売,オートバイ整備・修理・中古オートバイ販売業
1102002,自動車・オートバイ・自転車・ドライブ,中古車販売,オートバイ部分品・中古自動車販売業
1102003,自動車・オートバイ・自転車・ドライブ,中古車販売,国産車・中古車買取業
1102004,自動車・オートバイ・自転車・ドライブ,中古車販売,自動車整備・中古車買取業
1102005,自動車・オートバイ・自転車・ドライブ,中古車販売,中古オートバイ販売業
1102015,自動車・オートバイ・自転車・ドライブ,中古車販売,中古自転車販売業
1102019,自動車・オートバイ・自転車・ドライブ,中古車販売,中古車買取・販売業
1102022,自動車・オートバイ・自転車・ドライブ,中古車販売,中古車販売・自動車整備業
1102023,自動車・オートバイ・自転車・ドライブ,中古車販売,中古車・自動車販売業
1103001,自動車・オートバイ・自転車・ドライブ,カー用品・部品販売,オートバイ用部分品・修理・販売業
1103006,自動車・オートバイ・自転車・ドライブ,カー用品・部品販売,自動車中古部品販売業
1103007,自動車・オートバイ・自転車・ドライブ,カー用品・部品販売,カーアクセサリー販売業
1103008,自動車・オートバイ・自転車・ドライブ,カー用品・部品販売,自動車部分品・付属品卸売業
1103012,自動車・オートバイ・自転車・ドライブ,カー用品・部品販売,中古自動車卸売業
1104001,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,カーフィルム施工業
1104002,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,ポリマー加工業
1104003,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,キャンピングカー修理業
1104004,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,レーシングカー整備業
1104007,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自転車修理・整備業
1104012,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車修理・整備業
1104013,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車修理・清掃業
1104015,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車整備・自転車販売業
1104016,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車整備・解体業
1104017,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車整備・鈑金・塗装業
1104018,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車中古部品・整備業
1104020,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,自動車電装品修理業
