BUSINESS_CODE,BUSINESS_NAME_L,BUSINESS_NAME_M,BUSINESS_NAME_S
1010017,スポーツ・趣味娯楽・レジャー,ペット,ペット霊園・葬儀葬祭
1010999,スポーツ・趣味娯楽・レジャー,ペット,ペット関連
1011001,スポーツ・趣味娯楽・レジャー,プレイガイド,プレイガイド
1011999,スポーツ・趣味娯楽・レジャー,プレイガイド,プレイガイド関連
1012003,スポーツ・趣味娯楽・レジャー,趣味娯楽施設関連,ダンスホール
1012004,スポーツ・趣味娯楽・レジャー,趣味娯楽施設関連,ダーツ場
1012005,スポーツ・趣味娯楽・レジャー,趣味娯楽施設関連,ビリヤード場
1012999,スポーツ・趣味娯楽・レジャー,趣味娯楽施設関連,趣味娯楽施設関連
1013002,スポーツ・趣味娯楽・レジャー,遊園地・テーマパーク,遊園地
1013004,スポーツ・趣味娯楽・レジャー,遊園地・テーマパーク,テーマパーク
1013007,スポーツ・趣味娯楽・レジャー,遊園地・テーマパーク,フィールドアスレチック
1013999,スポーツ・趣味娯楽・レジャー,遊園地・テーマパーク,遊園地・テーマパーク関連
1014001,スポーツ・趣味娯楽・レジャー,公園・庭園,公園
1014002,スポーツ・趣味娯楽・レジャー,公園・庭園,国定公園
1014003,スポーツ・趣味娯楽・レジャー,公園・庭園,国立公園
1014007,スポーツ・趣味娯楽・レジャー,公園・庭園,庭園
1014999,スポーツ・趣味娯楽・レジャー,公園・庭園,公園・庭園関連
1015002,スポーツ・趣味娯楽・レジャー,レジャー施設関連,ライブハウス
1015004,スポーツ・趣味娯楽・レジャー,レジャー施設関連,ディスコ
1015007,スポーツ・趣味娯楽・レジャー,レジャー施設関連,釣り堀り・管理釣り場
1015010,スポーツ・趣味娯楽・レジャー,レジャー施設関連,キャンプ場
1015011,スポーツ・趣味娯楽・レジャー,レジャー施設関連,釣船業
1015999,スポーツ・趣味娯楽・レジャー,レジャー施設関連,レジャー施設関連
0102001,官公庁・団体・福祉,都道府県機関,県民相談センター
0102002,官公庁・団体・福祉,都道府県機関,都道府県機関
0102003,官公庁・団体・福祉,都道府県機関,都道府県事務所
0102004,官公庁・団体・福祉,都道府県機関,都道府県庁
0102005,官公庁・団体・福祉,都道府県機関,福祉施設・事務所
0102999,官公庁・団体・福祉,都道府県機関,都道府県機関関連
0103001,官公庁・団体・福祉,市区町村機関,区役所
0103002,官公庁・団体・福祉,市区町村機関,市区町村機関
0103003,官公庁・団体・福祉,市区町村機関,市民相談センター
0103004,官公庁・団体・福祉,市区町村機関,市役所
0103005,官公庁・団体・福祉,市区町村機関,町村役場
0103999,官公庁・団体・福祉,市区町村機関,市区町村機関関連
0104001,官公庁・団体・福祉,郵便事業,郵便局
0104999,官公庁・団体・福祉,郵便事業,郵便事業関連
0105001,官公庁・団体・福祉,警察機関,警察機関
0105999,官公庁・団体・福祉,警察機関,警察機関関連
0106001,官公庁・団体・福祉,消防機関,消防機関
0106999,官公庁・団体・福祉,消防機関,消防機関関連
0107001,官公庁・団体・福祉,大使館・領事館,外国公館
0107002,官公庁・団体・福祉,大使館・領事館,総領事館
0107003,官公庁・団体・福祉,大使館・領事館,大使館
0107999,官公庁・団体・福祉,大使館・領事館,大使・公館関連
0108001,官公庁・団体・福祉,公団・事業団・公庫,宇宙開発事業
0108002,官公庁・団体・福祉,公団・事業団・公庫,金融公庫
0108003,官公庁・団体・福祉,公団・事業団・公庫,公団・事業団・公庫
0108004,官公庁・団体・福祉,公団・事業団・公庫,厚生年金基金
0108005,官公庁・団体・福祉,公団・事業団・公庫,国民年金基金
0108006,官公庁・団体・福祉,公団・事業団・公庫,住宅金融公庫
0108007,官公庁・団体・福祉,公団・事業団・公庫,住宅公団
0108008,官公庁・団体・福祉,公団・事業団・公庫,労働保険事務組合
0108999,官公庁・団体・福祉,公団・事業団・公庫,公団・事業団・公庫関連
0109001,官公庁・団体・福祉,宗教関連,キリスト教教会
0109002,官公庁・団体・福祉,宗教関連,寺院
0109003,官公庁・団体・福祉,宗教関連,その他教会
0109004,官公庁・団体・福祉,宗教関連,神社
0109005,官公庁・団体・福祉,宗教関連,神道教会
0109006,官公庁・団体・福祉,宗教関連,仏教教会
0109999,官公庁・団体・福祉,宗教関連,宗教関連
0110001,官公庁・団体・福祉,農業協同組合,農業協同組合
0110999,官公庁・団体・福祉,農業協同組合,農業協同組合関連
1101007,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,オートバイ買取・販売・修理業
1101009,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,オートバイ販売業
1101012,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,オートバイ販売・整備業
1101014,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,オートバイ部分品小売業
1101016,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,キャンピングカー販売・修理業
1101027,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自転車販売業
1101035,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自動車整備用機械工具販売業
1101037,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自動車販売業
1101038,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自転車小売業
1101040,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自動車販売・整備業
1101041,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自動車販売・自動車部分品販売業
1101043,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自動車（新車）・中古自動車販売業
1101044,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自動車販売業（大型車）
1101999,自動車・オートバイ・自転車・ドライブ,自動車・バイク・自転車販売,自動車・バイク・自転車販売業関連
1102001,自動車・オートバイ・自転車・ドライブ,中古車販売,オートバイ整備・修理・中古オートバイ販売業
1102002,自動車・オートバイ・自転車・ドライブ,中古車販売,オートバイ部分品・中古自動車販売業
1102003,自動車・オートバイ・自転車・ドライブ,中古車販売,国産車・中古車買取業
1102004,自動車・オートバイ・自転車・ドライブ,中古車販売,自動車整備・中古車買取業
1102005,自動車・オートバイ・自転車・ドライブ,中古車販売,中古オートバイ販売業
1102015,自動車・オートバイ・自転車・ドライブ,中古車販売,中古自転車販売業
1102019,自動車・オートバイ・自転車・ドライブ,中古車販売,中古車買取・販売業
1102022,自動車・オートバイ・自転車・ドライブ,中古車販売,中古車販売・自動車整備業
1102023,自動車・オートバイ・自転車・ドライブ,中古車販売,中古車・自動車販売業
1102999,自動車・オートバイ・自転車・ドライブ,中古車販売,中古車販売業関連
1103001,自動車・オートバイ・自転車・ドライブ,カー用品・部品販売,オートバイ用部分品・修理・販売業
1103006,自動車・オートバイ・自転車・ドライブ,カー用品・部品販売,自動車中古部品販売業
1103007,自動車・オートバイ・自転車・ドライブ,カー用品・部品販売,カーアクセサリー販売業
1103008,自動車・オートバイ・自転車・ドライブ,カー用品・部品販売,自動車部分品・付属品卸売業
1103012,自動車・オートバイ・自転車・ドライブ,カー用品・部品販売,中古自動車卸売業
1103999,自動車・オートバイ・自転車・ドライブ,カー用品・部品販売,カー用品・部品販売業関連
1104001,自動車・オートバイ・自転車・ドライブ,自動車修理・整備,カーフィルム施工業
